Name,Beauhurst URL,Accelerator manager,Sponsor(s),Fund,Next application deadline,Duration,Perks provided,Status,Summary,Eligibility,Phone number,Website,LinkedIn page,Country,Local authority (if UK),Region (if UK),Street address,Postcode (if UK),Number of attendances in this accelerator,Number of fundraisings associated with this accelerator,Date of the latest attendance 
CyberASAP - Phase 1,https://platform.beauhurst.com/acceleratormanager/xxt9zf/accelerator/gxwmcs/,KTN,Innovate UK (IUK),"Department for Digital, Culture, Media and Sport",,4 months.,"Access to Network of Experts, Product Development, Workshops",Green,"The programme is aimed at helping teams from academic institutions commercialise cyber security products and services, focusing on value proposition and market validation. Successful teams will progress from this programme to 'CyberASAP Phase 2' . In its first year, this programme was called ' Innovation-to-Commercialisation of University Research (ICURe) '.","Applicant companies must: Not exceed £16,000 for its total eligible costs in it value proposition or market validation stages, without further justification  Start its project on 1 April 2020 and end by 31 July 2020. Be based in a UK academic institution Have a cyber security idea Be interested in the commercialisation of their idea Have the support of their academic institution’s technology transfer office, or equivalent",,https://ktn-uk.org/programme/cyberasap/,,United Kingdom,Westminster,London,"100 Parliament St
Westminster
London",SW1A 2BQ,27,,2024-05-14
CyberASAP - Phase 2,https://platform.beauhurst.com/acceleratormanager/xxt9zf/accelerator/wju33g/,KTN,Innovate UK (IUK),"Department for Digital, Culture, Media and Sport",,5 months.,"Access to Investor Network, Access to Network of Experts, Educational Support, Product Development, Workshops",Green,"The programme is aimed at helping teams from academic institutions commercialise cyber security products and services and follows on from ' CyberASAP Phase 1 '. This phase is focused on developing proof of concept. In its first year, this programme was called ' Innovation-to-Commercialisation of University Research (ICURe) '.",Teams must have attended and successfully progressed through 'CyberASAP Phase 1' to access this programme.,,https://ktn-uk.org/programme/cyberasap/,,United Kingdom,Westminster,London,"100 Parliament St
Westminster
London",SW1A 2BQ,38,,2023-10-24
Impact Central,https://platform.beauhurst.com/acceleratormanager/dsddg2/accelerator/e5jstx/,Impact Central,,,,6 months.,"Access to Business Network, Access to Finance, Access to Network of Experts, Business Education, Co-working Space, Mentoring",Green,The programme looks to support social impact companies. ,"Applicant companies must have: A clear social and/or environmental solution Evidence of market traction with a revenue model  A team, including co-founders, advisors and potential investors. ",020 3475 0431,https://impactcentral.co.uk/,https://www.linkedin.com/company/14819365,United Kingdom,Hammersmith and Fulham,London,"405 Kings Road
London
United Kingdom
SW10 0BB",W6 9JJ,35,,2021-09-13
Knowledge Transfer Network (KTN) SME Accelerator programme,https://platform.beauhurst.com/acceleratormanager/7d4ahq/accelerator/mrtgbj/,KTN,Innovate UK (IUK),,,6 months,"Access to Investor Network, Access to Network of Experts, Business Advice, Investment Assistance, Technical Expertise",Green,The programme aims to support companies towards commercialisation. ,"Applicant companies should be early or late stage innovators. The programme is particularly interested in companies with IP in the following areas: Chemistry, Chemical Engineering, Industrial Biotechnology, Synthetic Biology, Digitisation; Artificial Intelligence fields.  It is also particularly interested in companies  working in the following themes: Alternative feedstocks; Catalysis; Chemical Recycling of chemicals/ materials; process intensification. ",03333 403250,https://ktn-uk.org/events/launch-of-ktn-sme-accelerator-accelerating-innovative-chemistry-industrial-biotech-led-solutions-for-a-net-zero-world/,https://www.linkedin.com/company/5126568,United Kingdom,Islington,London,"Unit 218
Business Design Centre
Upper Street
Islington
London",N1 0QH,1,,2020-11-30
Rise,https://platform.beauhurst.com/acceleratormanager/qxeqh9/accelerator/5hagum/,Colorintech,,,,8 weeks.,"Access to Business Network, Access to Investor Network, Business Education, Product Development, Workshops",Green,This programme is designed for founders from underrepresented backgrounds. ,"The programme's eligibility criteria are: You identify as belonging to an ethnic minority You are pre-seed and have not raised more than £150k You have an idea or product in MVP stage or early product-stage, that uses technology to solve a real demonstrable problem Enthusiastic and ready to network and grow with others You can commit to the 8-week program (4 hours a week) You are based in Europe.",,https://www.colorintech.org/programs/rise,,United Kingdom,Hammersmith and Fulham,London,"Colorintech HQ
Huckletree West
Mediaworks, 191 Wood Ln
London",W12 7FP,12,,
Fintech Accelerator,https://platform.beauhurst.com/acceleratormanager/geecyh/accelerator/7ws4j6/,NatWest,,,,6 months.,"Access to Business Network, Access to Investor Network, Business Advice, Investment Assistance, Legal Services, Mentoring, Technical Expertise",Green,The programme aims to support FinTech businesses in their growth. ,Applicant company business models must be based on financial technologies.,,https://www.business.natwest.com/business/business-services/entrepreneur-accelerator.html,,United Kingdom,Tower Hamlets,London,"250 Bishopsgate
London
EC2M 4AA",EC2M 4AA,2,,2024-03-14
MSIP Accelerator,https://platform.beauhurst.com/acceleratormanager/2dz8ui/accelerator/jbufq4/,Skillfluence,"Michelin Scotland Innovation Parc, Dundee City Council, Michelin, Skillfluence",Scottish Enterprise,,12 weeks.,"Access to Finance, Access to Investor Network, Business Advice, Mentoring, Stipend, Workshops",Green,This programme is designed for companies operating in sustainable mobility or decarbonisation.,Companies must be: Developing green-tech and disruptive products Actively seeking investment Operating in the sustainability or decarbonisation sectors,01224 289700,https://www.msipdundee.com/our-parcs/msip-accelerator/,https://www.linkedin.com/company/28532196,United Kingdom,Dundee City,Tayside,"Michelin Scotland Innovation Parc
Baldovie Road
Dundee
DD4 8UQ",DD4 8UQ,38,,2025-01-09
SeedReady Pre-Accelerator,https://platform.beauhurst.com/acceleratormanager/t76y75/accelerator/3kwsaf/,SeedReady,,,,4 weeks,"Access to Business Network, Access to Network of Experts, Marketing support, Product Development, Workshops",Green,This accelerator programme is designed to help early-stage founders develop their businesses. ,Applicant companies to the programme should be: At the idea stage of developing their business Based in the UK Digital & Tech enabled businesses. ,,https://www.seedready.org/pre-accelerator/,,United Kingdom,Camden,London,"71-75 Shelton St, 
Covent Garden,
London",WC2H 9JQ,13,,2020-10-01
Faraday Battery Challenge Investment Readiness Programme,https://platform.beauhurst.com/acceleratormanager/ksfm3x/accelerator/4vt6en/,Innovate UK Business Connect,"Stronger Stories, Mountside Ventures",Faraday Challenge,2024-08-22,12 weeks.,"Access to Investor Network, Investment Assistance, Mentoring, Workshops",Green,The programme helps SMEs that work with electric battery vehicles improve their pitching skills and access funding.,Applicants must: Be an SME based in the UK Be active in the battery technology or battery value chain sectors Be at a demonstrator stage of development,03333 403250,https://ktn-uk.org/news/the-successful-applicants-in-the-faraday-investment-readiness-programme/,,United Kingdom,Islington,London,"Unit 220
Business Design Centre
Upper Street
Islington
London",N1 0QH,35,,2024-09-03
FinTech Wales Foundry,https://platform.beauhurst.com/acceleratormanager/uvmn77/accelerator/y8qqx2/,FinTech Wales,"Principality Building Society, Admiral Pioneer, Cardiff Capital Region",,,12 weeks.,"Access to Investor Network, Corporate Resources, Mentoring, Office Space, Workshops",Green,"The programme aims to match FinTech companies with Welsh institutions in order to encourage jobs, investment and deals in the space.","Applicant companies must be operating in the FinTech space. The programme does not specify restrictions though it is currently focussing on the following areas: Future of Mobility – Societal sustainability, alternative transport, electric & autonomous vehicles. Do you have ideas that can help Wales get from A to B better?  Live to 101 – Longer lives have larger implications and you’ve aged just reading this. How can you support the health and wealth of the nation as we age?  Future of Work – From SME’s to gig economies, covid has changed the 9-5 forever. Can you efficiently automate or upskill the future workforce of Wales?  Money Management For All – Do you embrace open banking in ingenious ways that look after the pennies and pounds of Welsh pockets at all stages of life? FinTech companies not operating in the above will still be considered.",02921 961002,https://fintechwales.org/news/introducing-the-fintech-wales-foundry/,https://www.linkedin.com/company/19142604,United Kingdom,Cardiff,Wales,"Capital Building
Tyndall Street
Cardiff",CF10 4AZ,10,,2025-05-13
EdVenture,https://platform.beauhurst.com/acceleratormanager/dknqa8/accelerator/ayb3gy/,EdVenture,,,,10 weeks,"Access to Network of Experts, Corporate Resources, Financial Investment, Mentoring, Workshops",Green,EdVenture is designed to help university students develop businesses. ,"Candidates for the programme must possess b usiness acumen,  entrepreneurial spirit and the drive to see ideas through to their execution.",,https://edventure.vc/,,United Kingdom,City of Edinburgh,East of Scotland,"Holyrood, 
Edinburgh",EH8 8AQ,6,,2021-01-26
FemTech Lab,https://platform.beauhurst.com/acceleratormanager/9g8y44/accelerator/6r2hzv/,FemTech Lab,"stephenson, Spinks, Hays Macintyre",,,12 weeks.,"Access to Investor Network, Access to Network of Experts, Business Advice, Business Education, Investment Assistance, Mentoring, Product Development",Green,The programme aims to support FemTech startups in bringing their product to market.,"Applicant companies must: Be early-stage startups Work in the FemTech space Have ambitious, growth-minded founders Be building a product with the intention of disrupting the market Have an MVP or tested prototype, with user feedback Be working on a go-to-market strategy Be considering a pre-seed or seed fundraise.",,https://femtechlab.com/,https://www.linkedin.com/company/68869098,United Kingdom,Hackney,London,"Flat 47 Gaumont Tower
Dalston Square
London",E8 3BQ,15,,2023-02-28
Applied AI,https://platform.beauhurst.com/acceleratormanager/c29mqt/accelerator/duvwrd/,Tech Nation,,,,6 months,"Access to Investor Network, Business Education, Mentoring",Green,The programme is designed for companies using AI technology. ,"To be eligible, companies must: Have headquarters in the UK Have Artificial Intelligence at the core of your value proposition and your key product, not an excess feature Seed to Series A* (or no more than £1.5m annual recurring revenue) Take into account ethical considerations",,https://technation.io/programmes/applied-ai/,,United Kingdom,Hackney,London,"20-22 Wenlock Road
London",N1 7GU,126,1,2022-11-09
Brands of Tomorrow,https://platform.beauhurst.com/acceleratormanager/xtpn2r/accelerator/zery59/,Walpole,"Mischon de Reya, moneycorp",,,12 months.,"Access to Business Network, Mentoring",Green,The programme is designed for fashion companies. ,Companies must have a turnover of under £5m. ,,https://www.thewalpole.co.uk/about-brands-of-tomorrow,,United Kingdom,Lambeth,London,"2nd Floor
Riverside Building, County Hall
Westminster Bridge Road
London",SE1 7JA,76,,
Algorand Europe Accelerator,https://platform.beauhurst.com/acceleratormanager/sy9atd/accelerator/sxdrii/,Algorand Europe Accelerator,"Algorand Foundation, Borderless Capital",Eterna Capital,,12 weeks.,"Access to Business Network, Access to Investor Network, Business Advice, Business Education, Financial Investment, Mentoring, Technical Expertise",Green,The programme provides support to startups building products on Algorand or contributing to the Algorand ecosystem.,Applicant companies must: Be building products on or contributing significantly to the ecosystem of Algorand Be Pre-Seed or Seed stage Have at least 2 team members Be able to prove its business case or product-market fit,,https://www.algorand-europe-accelerator.com/,https://www.linkedin.com/company/42900150,United Kingdom,Westminster,London,"48 Dover St
London",W1S 4FF,3,1,2021-02-01
Indielab TV Accelerator,https://platform.beauhurst.com/acceleratormanager/y5qqtt/accelerator/xj4x47/,Indielab,,The Creative Catalyst,,4 months.,"Access to Business Network, Access to Investor Network, Access to Network of Experts, Business Advice, Investment Assistance",Green,The programme provides assistance to businesses in the TV industry.,Applicant companies must be operating within the TV industry.,,https://www.weareindielab.co.uk/,https://www.linkedin.com/company/37420480,United Kingdom,Westminster,London,"Somerset House Exchange
New Wing
Strand 
London",WC2R 1LA,77,,2023-06-14
Indielab West Yorks,https://platform.beauhurst.com/acceleratormanager/y5qqtt/accelerator/j4gr3x/,Indielab,"West Yorkshire Business and Skills, West Yorkshire Combined Authority",The Creative Catalyst,,,"Access to Business Network, Access to Investor Network, Access to Network of Experts, Business Advice, Investment Assistance, Workshops",Green,The programme provides assistance to creative businesses in the TV & games industries in the West Yorkshire area. ,Applicant companies must be operating within the TV or games industries and be situated within the West Yorkshire industry.,,https://www.weareindielab.co.uk/,https://www.linkedin.com/company/37420480,United Kingdom,Westminster,London,"Somerset House Exchange
New Wing
Strand 
London",WC2R 1LA,2,,2022-02-01
M:Tech,https://platform.beauhurst.com/acceleratormanager/83sbe3/accelerator/36cxcw/,Mishcon de Reya,,,,,"Business Advice, Mentoring",Green,The programme is designed for early-stage tech companies. ,"To be considered for a place on the M:Tech programme, businesses should be: Based in the UK and in the first three years of operation Generating revenue, with at least one active client or pilot Contemplating a significant fundraising within the next six to 18 months  ",020 3321 7000,https://www.mishcon.com/mtech,,United Kingdom,Camden,London,"Mishcon de Reya LLP
Africa House
70 Kingsway
London",WC2B 6AH,22,,2020-09-18
The Scaleup Programme,https://platform.beauhurst.com/acceleratormanager/3b7npv/accelerator/59xwkh/,Innovate UK,Scaleup Institute,Innovate UK,,,"Access to Alumni Network, Access to Finance, Access to Network of Experts, Accounting Services, Business Advice, Corporate Resources, Investment Assistance, Mentoring",Green,"The programme aims to provide tailored support to ambitious R&D and IP heavy UK companies, to help them scale globally.",Applicant companies should be: UK based R&D intensive & IP rich Disrupting an industry Capable of internationalisation Capable of achieving 50% growth p.a.,03001 233066,https://www.innovateukedge.ukri.org/Scale-with-us,,United Kingdom,Swindon,South West,"Polaris House
North Star Avenue
Swindon",SN2 1FL,28,,2025-11-01
The Hatchery,https://platform.beauhurst.com/acceleratormanager/8nfa33/accelerator/ap3jss/,UCL Innovation & Enterprise,,,,Up to 24 months.,"Access to Business Network, Access to Investor Network, Accounting Services, Business Advice, Business Education, Co-working Space, Investment Assistance, Legal Services, Mentoring, Office Space, Product Development, Workshops",Green,"The programme provides support to startups founded by UCL students, researchers and recent graduates.","Applicant companies must be: Founded by students, researchers or recent graduates (graduated within 3 years) of UCL Operating in any sector, but be unrelated to university research if the founder/s are studying for a PhD Ideally applicant companies will also: Be tackling a market gap Have worked out the practicalities Have passionate and committed founders Have tested and proven part of the product/service and market potential.",,https://www.ucl.ac.uk/enterprise/students/join-hatchery-startup-incubator,https://www.linkedin.com/company/10662848,United Kingdom,Camden,London,"103c Camley St
London",N1C 4PF,407,,2025-10-23
NCSC For Startups,https://platform.beauhurst.com/acceleratormanager/r9tfgn/accelerator/kapntg/,National Cyber Security Centre,"NCSC, Plexal",,,,"Access to Business Network, Access to Finance, Access to Investor Network, Co-working Space, Product Development, Technical Expertise",Green,The programme is designed to support cyber security companies. It is the successor to the  NCSC Cyber Accelerator.,Applicant companies must be registered and have an active presence in the UK. They must also be prepared to undergo government security checks.,,https://www.ncsc.gov.uk/section/ncsc-for-startups/overview,https://www.linkedin.com/company/25047749,United Kingdom,Cheltenham,South West,"Unit H2
The Brewery Quarter
High St
Cheltenham",GL50 3FF,14,,2023-09-20
Sie,https://platform.beauhurst.com/acceleratormanager/9ug486/accelerator/ygehw3/,Sie,,,,3 months.,"Access to Investor Network, Investment Assistance, Invitation to Exclusive Events, Mentoring, Workshops",Green,The programme provides support to female founders in order to get them investment ready.,"Applicant companies must: Be building a scalable business that is defensible and venture-backable Have launched or be in active Beta Have at least one female founder Have a product or service that is tech-enabled through mobile or web, or has patentable technology Be early stage and looking to kick off the fundraising process. ",,https://www.sie.ventures/,https://www.linkedin.com/company/70385075,United Kingdom,Hackney,London,"20-22 Wenlock Road
London",N1 7GU,3,,2021-01-19
Libra,https://platform.beauhurst.com/acceleratormanager/c29mqt/accelerator/bsn3dt/,Tech Nation,Cooley,Tech Nation,,6 months.,"Access to Business Network, Access to Finance, Access to Investor Network, Access to Network of Experts, Business Advice, Legal Services, Workshops",Green,"The programme provides support for tech-based businesses with at least one Black, South Asian, East Asian or Arab founder.","Applicants must: Have at least one founder who is Black, South Asian, East Asian or Arab. Be a digital tech business. Be incorporated within the UK & within the last 5 years. Be at Seed to Series A funding stage with max annual revenue below £1.5million Have a clear growth pathway with at least one active client or pilot. Have the ability to demonstrate market traction and commit to the completion of the programme. Applicants can't be consultancies or agencies.",,https://technation.io/programmes/libra/,,United Kingdom,Hackney,London,"Tech Nation
20-22 Wenlock Road,
London,
N1 7GU",N1 7GU,65,,2024-01-24
Inclusive Ventures Lab (EMEA),https://platform.beauhurst.com/acceleratormanager/54cz8m/accelerator/p38mmp/,Morgan Stanley,,Morgan Stanley Investment Management,,5 months.,"Access to Alumni Network, Access to Investor Network, Access to Network of Experts, Business Advice, Financial Investment, Mentoring",Green,"The programme focuses on funding and developing diverse and multicultural early-stage companies, and is the EMEA (Europe, Middle East and Africa) branch of the existing Inclusive Ventures Lab based in New York. The programme was formerly known as the Multicultural Innovation Lab.",Applicant companies should: have a multicultural or woman founder or C-suite member be seed or early-stage be within the tech industry across a range of sectors have launched a product with demonstrated revenues,02074258000,https://www.morganstanley.com/about-us/diversity/multicultural-innovation-lab,https://www.linkedin.com/company/497017,United Kingdom,Tower Hamlets,London,"20 Bank Street
Canary Wharf
London
E14 4AD",E14 4AD,9,5,2023-09-12
The ScaleUp Accelerator,https://platform.beauhurst.com/acceleratormanager/k4i6xn/accelerator/2c662a/,The Accelerator Network,White Horse Capital,,,12 months.,"Access to Investor Network, Business Education, Financial Planning, Investment Assistance, Legal Services, Mentoring",Green,"The programme aims to help UK-based tech companies, specifically B2B software-as-a-service companies, get ready to raise a Series A round.",Applicant companies must: Be UK based Be a technology business Be approaching/exceeding £1m revenue (minimum £500k revenue) per year Have 10+ staff and core team is established Have achieved product market fit Have growth ambitions Be looking to raise £1m-£5m from VCs in the next year Applicant companies will also ideally: Be B2B SaaS focused Have a founder with domain expertise.,,https://thescaleupaccelerator.com/,https://www.linkedin.com/company/69712340,United Kingdom,Southwark,London,"123A Borough High Street
London",SE1 1NP,26,,
Deeptech Labs,https://platform.beauhurst.com/acceleratormanager/qmjdzi/accelerator/6t7qvc/,Deeptech Labs,,,,13 weeks.,"Access to Alumni Network, Access to Business Network, Access to Finance, Access to Network of Experts, Financial Investment, Mentoring, Workshops",Green,The programme is designed for startups developing deeptech technologies.,Applicant companies must: Be working in the deeptech industry Be at seed stage with an early team Have an established technology.,,https://dtl.vc/,https://www.linkedin.com/company/69508639,United Kingdom,Cambridge,East of England,"Hauser Forum
3 Charles Babbage Road
Cambridge, UK",CB3 0GT,16,1,2023-09-29
The Greenhouse,https://platform.beauhurst.com/acceleratormanager/djvude/accelerator/s7yf7e/,Undaunted,"Inflexion Private Equity, HSBC, Imperial College London",Undaunted,,12 months.,"Access to Alumni Network, Access to Business Network, Access to Customer Network, Access to Interns, Access to Investor Network, Business Advice, Financial Investment, Investment Assistance, Invitation to Exclusive Events, Mentoring, Office Space, Product Development, Workshops",Green,"The programme aims to develop Climate Tech start-ups, to support their fundraising and growth from initial ideas to market entry.",Applicants must: Be a UK legal entity and UK-based. Ideally have more than one founder. Have a product or business looking to tackle or counteract the effects of climate change. Have a business with commercial potential and a clear understanding of how their technology will work. Have not previously raised large commercial investment.,,https://undaunted-hq.org/programmes/the-greenhouse/,,United Kingdom,Westminster,London,"21 Albemarle Street
London
W1S 4BS",W1S 4BS,71,,2025-12-01
STAC,https://platform.beauhurst.com/acceleratormanager/7jafzp/accelerator/xdzsfb/,Smart Things Accelerator Centre,"Arrow Electronics, Filament, Anderson Anderson & Brown, Burness Paull, Twilio, Keysight Technologies, Scintilla, Arceptive, Soben, Plexus Corp.",Scottish Enterprise,,18 months.,"Access to Business Network, Access to Customer Network, Access to Finance, Business Advice, Co-working Space, Financial Investment, Mentoring, Product Development",Green,The programme focuses on supporting Internet of Things technology companies within Scotland.,Applicants must: Be a registered company based in Scotland. Be developing a Smart Thing technology. Potential applicants should also demonstrate the following: Developing a sustainable company. Able to demonstrate a proof of concept for their idea.,0141 248 7695,https://www.stac.ac/,https://www.linkedin.com/company/79746471,United Kingdom,Glasgow City,West of Scotland,"18 Elliot Place
The Skypark
Glasgow
G3 8EP",G3 8EP,28,2,2025-08-18
Female Founders,https://platform.beauhurst.com/acceleratormanager/99aes4/accelerator/dmfgyk/,Creative England,,,,8 months.,"Access to Alumni Network, Access to Business Network, Business Advice, Business Education, Financial Planning, Mentoring, Technical Expertise",Green,The programme aims to help businesses led by women to scale up.,Applicants must: Have a product that tells storytelling through moving image. Identify as a woman Be based in an English city outside of London. Have generated revenue in the last 3 years.,,https://www.creativeengland.co.uk/creative-enterprise/scale/female-founders/,,United Kingdom,"Bristol, City of",South West,"College House
32-36 College Green
Bristol",BS1 5S,36,,2022-09-20
Cyber Runway,https://platform.beauhurst.com/acceleratormanager/eyfvwa/accelerator/zf948u/,Plexal,CSIT,"Department for Digital, Culture, Media & Sport (DCMS)",,6 months.,"Access to Business Network, Access to Investor Network, Access to Network of Experts, Business Advice, Invitation to Exclusive Events, Mentoring, Product Development, Workshops",Green,This programme is designed to support technology start-ups to launch and scale.,,,https://www.plexal.com/cyber-runway/,,United Kingdom,Hackney,London,"14 East Bay Lane
Here East
Queen Elizabeth Olympic Park",E20 3BS,149,,2024-09-30
AWS Healthcare Accelerator,https://platform.beauhurst.com/acceleratormanager/td2vrf/accelerator/fq74zd/,PUBLIC,,,2021-12-05,4 weeks.,"Access to Alumni Network, Access to Business Network, Corporate Resources, Technical Expertise, Workshops",Green,"The programme aims to support companies within the healthcare sector, specifically focusing on citizen access, elective care recover, precision medicine, population health, and the care workforce.","Applicant companies must: have demonstrated commercial traction in revenue and potential to scale be based in the UK or, if international, have existing UK-based operations be focused on healthcare solutions have an Amazon Web Services account or be considering a migration to AWS",,https://www.public.io/awshealthcareaccelerator,,United Kingdom,Westminster,London,"PUBLIC Hall
One Horseguards Avenue
Westminster
London
SW1A 2HU",SW1A 2HU,2,,2023-04-04
Future Worlds,https://platform.beauhurst.com/acceleratormanager/4tfzi2/accelerator/rg6gn9/,Future Worlds,,,,4 months.,"Access to Business Network, Access to Investor Network, Access to Network of Experts, Business Education, Mentoring, Office Space",Green,The programme provides support to startup companies aiming to rapidly develop and commercialise their ideas.,"Applicants must: be a current or recent (up to the previous academic year) student or researcher at the University of Southampton be a founder or co-founder of a startup company Companies must: be at the startup stage, rather than a pre- or post-startup stage",,https://futureworlds.com,,United Kingdom,Southampton,South East,"University of Southampton
University Road
Southampton",SO17 1BJ,82,,2025-01-30
The Reactor Programme,https://platform.beauhurst.com/acceleratormanager/v3k4bk/accelerator/cp8s6i/,Triple Chasm Company,Discovery Park,,,8 weeks.,"Access to Network of Experts, Business Advice, Corporate Resources, Mentoring, Product Development",Green,"The programme provides support for companies within the life sciences sector, focussing on companies related to agricultural technology, biopharmaceuticals, and healthcare.","Applicant companies must be; A life science company within the three specified focus areas - agricultural technology, biopharmaceuticals, or healthcare",,https://discovery-park.co.uk/discovery-park-reactor-programme-faqs/,,United Kingdom,Dover,South East,"Discovery Park
Innovation House
Sandwich
Kent",CT13 9FF,9,,2021-09-21
Net Zero,https://platform.beauhurst.com/acceleratormanager/c29mqt/accelerator/uanf97/,Tech Nation,"Sage Group, BNP Paribas",,,6 months.,"Access to Business Network, Access to Investor Network, Access to Network of Experts, Business Education, Mentoring, Technical Expertise, Workshops",Green,The programme is designed to support early-stage fast-scaling businesses that aim to reduce global emissions. ,"Applicant companies must meet the following criteria: Must be an early-stage fast-scaling company Have ambitions to scale Demonstrate a proved market-fit Be headquartered in the UK Have only received early-stage funding or up to Series A OR has revenues below £1.5m Have a product or service that has progressed from the minimum viable product stage Be aiming to reduce global emissions, and typically be working within digital, hardware or life science sectors.",,https://technation.io/programmes/net-zero/,https://www.linkedin.com/company/2643737,United Kingdom,City of London,London,"3 Finsbury Avenue
London",EC2M 2PA,92,,2024-01-09
Future of Air Mobility Accelerator,https://platform.beauhurst.com/acceleratormanager/xa3z6j/accelerator/iif6rv/,Connected Places Catapult,,,,6 months.,"Access to Business Network, Access to Customer Network, Access to Finance, Access to Network of Experts, Access to Political Network, Business Education, Mentoring, Office Space, Product Development, Technical Expertise",Green,The programme aims to support SMEs developing innovative solutions within the air mobility industry.,Applicants must meet the following criteria: Be an SME Have or be looking to have a UK registered company address Be developing a solution at technology readiness levels (TRLs) 6-8 Be developing a solution that addresses the programme challenges,,https://community.cp.catapult.org.uk/en/page/future-air-mobility-accelerator-en,,United Kingdom,Islington,London,"The Urban Innovation Centre
One Sekforde Street
London
EC1R 0BE",EC1R 0BE,27,,2023-11-30
Lab by Transport for Wales,https://platform.beauhurst.com/acceleratormanager/4rvdvw/accelerator/h4zm48/,Alt Labs,Transport for Wales Rail,Business Wales,,12 weeks.,"Access to Business Network, Access to Finance, Access to Network of Experts, Brand Development, Business Education, Co-working Space, Mentoring, Product Development, Workshops",Green,The programme aims to help start-ups develop a pitch and minimum viable product (MVP) that have the potential to benefit Transport for Wales Rail and the wider rail industry.,"Applicants must: Be either an entrepreneur or start-up actively working on an idea, or an existing scale-up business Have an idea or an existing product or service that will improve the customer and passenger experience across rail, or which could be pivoted to those purposes",,https://tfwlab.wales/,https://www.linkedin.com/company/20090965,United Kingdom,Newport,Wales,"11 Devon Place
Lab by Transport for Wales
Newport
Wales
NP20 4NW",NP20 4NW,25,,2023-08-01
GCHQ Innovation Co-Lab,https://platform.beauhurst.com/acceleratormanager/e6s46a/accelerator/9mkhjn/,GCHQ,HOST,,,5 months.,"Access to Business Network, Access to Finance, Access to Investor Network, Access to Political Network, Co-working Space, Product Development, Workshops",Green,"The programme aims to develop digital tech businesses with a focus on cyber security, open source and communication based technologies.","The programme requires applicants have: At least 2 employees, however solo founders are also welcome to apply. Evidence of previous investment and the resources to scale their product during the programme. The ability to commit to a 5 month programme. The programme also prefers applicants are: From a diverse and underrepresented background within the North West of England.",,https://www.hostsalford.com/programmes/the-gchq-innovation-co-lab-2021/,,United Kingdom,Salford,North West,"Blue Tower
MediaCityUK
Salford
M50 2ST",M50 2ST,8,,2020-09-03
The Venture Launchpad,https://platform.beauhurst.com/acceleratormanager/swwfuc/accelerator/vfx2u2/,Carbon13,"arm, Ernst & Young, bp, DLA Piper, Volkswagen Group",,,20 weeks.,"Access to Finance, Access to Investor Network, Access to Network of Experts, Financial Investment, Mentoring, Workshops",Green,This programme is designed for software or deep-tech/science-based companies that are working towards reducing carbon dioxide emissions.,"Companies must meet the following criteria Has two or more founders Registered in the UK or can be Has not raised equity funding, or been diluted by less than 10% Fits the cohort theme Is committed to building a venture with the ambition of reducing emissions",,https://carbonthirteen.com/programmes/venture-launchpad/,,United Kingdom,Cambridge,East of England,"Salisbury House
Station Road
Cambridge",CB1 2LA,20,9,2025-06-06
Energy Launchpad,https://platform.beauhurst.com/acceleratormanager/fturqa/accelerator/g7cnay/,Energy Systems Catapult,Innovate UK (IUK),,,,"Access to Business Network, Access to Finance, Business Advice, Invitation to Exclusive Events, Marketing support, Workshops",Green,The programme supports businesses to commercialise their clean energy products and services.,,0121 203 3700,https://es.catapult.org.uk/tools-and-labs/energy-launchpad/,,United Kingdom,Birmingham,West Midlands,"7th Floor, Cannon House
Priory Queensway
Birmingham",B4 6BS,18,,
East Midlands Digital Health Accelerator,https://platform.beauhurst.com/acceleratormanager/c5ahzc/accelerator/mthwe6/,East Midlands Academic Health Science Network,NHS,,,12 months.,"Access to Alumni Network, Access to Business Network, Access to Investor Network, Access to Network of Experts, Educational Support, Mentoring, Workshops",Green,The programme aims to speed up the adoption of healthcare technology in the East Midlands NHS. ,,,https://healthinnovation-em.org.uk/our-work/innovator-hub/grow-digital-health,https://www.linkedin.com/company/3566153,United Kingdom,Nottingham,East Midlands,"East Midlands Academic Health Science Network
C Floor, Institute of Mental Health
University of Nottingham Innovation Park
Triumph Road
Nottingham",NG7 2TU,13,,2024-02-19
Durham City Incubator,https://platform.beauhurst.com/acceleratormanager/jyj8zg/accelerator/espxp4/,Durham University,"Northern Powerhouse, European Regional Development Fund",Northstar Ventures,2022-05-06,6 months.,"Access to Business Network, Access to Finance, Access to Investor Network, Access to Network of Experts, Co-working Space, Financial Investment, Marketing support, Mentoring, Office Space",Green,The programme aims to support startups that want to scale their businesses.,Applicants must have been trading for less than twelve months with a preference for university graduates from Durham University and New College Durham.,03000 269223,https://dcincubator.co.uk/,,United Kingdom,County Durham,North East,"Salvus House
Aykley Heads
Durham",DH1 5TS,17,4,2021-09-01
